ADM2|38|7318|1625123|Kabupaten Tana Toraja|-3.05671|119.7617|Daerah Tingkat II Tana Toradja,Kabupaten Tana Toradja,Kabupaten Tanatoraja,TTR,Tana Toraja Regency,Tanatoraja
ADM2|12|6301|1625166|Kabupaten Tanah Laut|-3.85|114.83333|Kabupaten Tanah Laut,Kabupaten Tanahlaut,Tanah Laut Regency
ADM2|38|7305|1625545|Kabupaten Takalar|-5.41667|119.5|Daerah Tingkat II Takalar,Kabupaten Takalar,Takalar,Takalar Regency,Takalor
ADM2|02|5102|1625707|Kabupaten Tabanan|-8.43333|115.08333|Daerah Tingkat II Tabanan,Kabupaten Tabanan,Tabanan Regency
ADM2|12|6309|1625714|Kabupaten Tabalong|-1.83333|115.55|Kabupaten Tabalong,Tabalong Regency
ADM2|07|3372|1625811|Kota Surakarta|-7.55806|110.82333|Kota Surakarta,Kotamadya Surakarta,Kotapradja Surakarta,Solo,Surakarta
ADM2|08|3578|1625820|Kota Surabaya|-7.275|112.71667|Kota Surabaya,Kotamadya Surabaja,Kotamadya Surabaya,Kotapradja Surabaja,Surabaya
ADM2|30|3211|1626102|Kabupaten Sumedang|-6.83333|107.98333|Daerah Tingkat II Sumedang,Kabupaten Sumedang,Sumedang
ADM2|18|5302|1626190|Kabupaten Sumba Timur|-9.88167|120.215|Daerah Tingkat II Sumba Timur,Kabupaten Sumba Timur
ADM2|18|5301|1626193|Kabupaten Sumba Barat|-9.63333|119.41667|Daerah Tingkat II Sumba Barat,Kabupaten Sumba Barat,West Sumba Regency
ADM1|32||1626196|Sumatera Selatan|-2.75|103.83333|Andalas Selatan,Cənub Sumatra,Daerah Tingkat I Sumatera Selatan,De Sumatra,Etelae-Sumatra,Etelä-Sumatra,Gueney Sumatra,Güney Sumatra,Janubiy Sumatera,Jizni Sumatra,Jižní Sumatra,Juzhna Sumatra,Juzhnaja Sumatra,Kibbaa Sumaatra,Koonfur Sumaatra,Kudu Sumatra,Kөn'jak Summatra,Mauling Sumatra,Nam Su-mun-tap-liap-sen,Nam Sumatera,Nang Sumatra,Nàm Sû-mùn-tap-lia̍p-sén,Nàng Sumatra,Oңtүstik Summatra,Pietu Sumatra,Pietų Sumatra,Pivdenna Sumatra,Propinsi Sumatera Selatan,Propinsi Sumatra Selatan,Provinsi Sumatera Selatan,Salatan nga Sumatra,South Sumatra,Southern Sumatra,Suda Sumatro,Sumatera Selatan,Sumatra Kidul,Sumatra Kusini,Sumatra Meridional,Sumatra Meridionale,Sumatra Poludniowa,Sumatra Południowa,Sumatra Selatan,Sumatra Seulatan,Sumatra du Sud,Summatrai Ҷanub,Sydsumatra,Tүshtүk Sumatra,Zuid-Sumatra,dakhana sumatara,daksina sumatra,debubi sumatira,nan su men da la,nan su men da la sheng,nansumatora zhou,sumateulaseullatan ju,swmatra hargh,swmatray jnwby,swmtrt aljnwbyt,swyly swmtrh,terku cumattira makanam,Јужна Суматра,Көньяк Сумматра,Оңтүстік Сумматра,Південна Суматра,Сумматраи Ҷануб,Түштүк Суматра,Южна Суматра,Южная Суматра,Өмнө Суматра,جنوبی سماٹرا,سوماترا هارگه,سوماترای جنوبی,سومطرة الجنوبية,سویلي سومطره,صوبہ دکھنی سماٹرا,दक्षिण सुमात्रा,দক্ষিণ সুমাত্রা,ਦੱਖਣ ਸੁਮਾਤਰਾ,தெற்கு சுமாத்திரா மாகாணம்,จังหวัดสุมาตราใต้,სამხრეთი სუმატრა,ደቡብ ሱማትራ,南スマトラ州,南苏门答腊省,南蘇門答臘,南蘇門答臘省,수마트라슬라탄 주
ADM1|24||1626197|Provinsi Sumatera Barat|-1|100.5|Batys Summatra,Batysh Sumatra,Daerah Tingkat I Sumatera Barat,G'arbiy Sumatera,Galbeed Sumaatra,Giddu Sumaatra,Kөnbatysh Summatra,Laensi-Sumatra,Länsi-Sumatra,Propinsi Sumatera Barat,Provinsi Sumatera Barat,Qərb Sumatra,Sumatera Barat,Sumatera Kulon,Sumatra Barat,Sumatra Magharibi,Sumatra Occidental,Sumatra Ocidental,Sumatra Zachodnia,Sumatra occidental,Summatrai Garb,Tay Sumatera,Tây Sumatera,West Sumatra,West-Sumatra,Yamma Sumatra,lwydyz swmtrh,pachama sumatara,pascima sumatra,swmtrh ghrby,swmtrt alghrbyt,swmtrt ghrb,xisumatora zhou,Батыс Сумматра,Батыш Суматра,Көнбатыш Сумматра,Сумматраи Ғарб,سومطرة الغربية,سومطرة غرب,سومطره غربی,لویدیز سومطره,পশ্চিম সুমাত্রা,ਪੱਛਮ ਸੁਮਾਤਰਾ,ምʾirabi sumatira,ምዕራብ ሱማትራ,西スマトラ州
